ticker,earnings_yield,free_cash_flow_yield,sales_yield,book_to_market,ev_to_sales,ev_to_operating_income,ev_to_ebitda,ev_to_free_cash_flow,revenue_growth,net_income_growth,free_cash_flow_growth,revenue_cagr,net_income_cagr,free_cash_flow_cagr,gross_margin,operating_margin,ebitda_margin,net_margin,free_cash_flow_margin,return_on_assets,return_on_equity,return_on_invested_capital,operating_cash_flow_to_net_income,free_cash_flow_to_net_income,debt_to_assets,debt_to_equity,net_debt_to_equity,liabilities_to_assets,cash_to_debt,current_ratio,quick_ratio,interest_coverage,asset_turnover,r_and_d_intensity,sga_intensity,capex_to_revenue,cumulative_return,one_month_return,three_month_return,six_month_return,one_year_return,sharpe_ratio,annualized_volatility,max_drawdown,beta_vs_spy,price_vs_sma_50,price_vs_sma_200,sma_50_vs_sma_200,macd_spread,rsi_score,volume_ratio,value_score,growth_score,quality_score,financial_strength_score,efficiency_score,momentum_score,risk_score,technical_score,overall_score,as_of_date,quality_value_interaction,growth_quality_interaction,momentum_technical_interaction,financial_strength_quality_interaction,value_financial_strength_interaction,growth_momentum_interaction,efficiency_quality_interaction,risk_momentum_interaction
SGU,0.46335693987258264,,4.666867037632996,,0.32906592351700603,1.8706880576481253,1.7032987383317062,,0.5270092965584104,3.866079465089366,,,,,,0.17590635818283662,0.19319331137373427,0.09928650980114363,,0.09479585331548143,,,,,0.15609809862215548,,,,0.2978929969831183,1.5031784400028863,1.3201277148423407,,0.9547707287258226,,,0.004819567917996508,4.35172112740483,-0.0033595870026426056,0.2165931601251636,0.5436171238213701,0.44498087766421013,0.7048194272799331,0.35289255234713873,-0.6303030989013843,0.36148697057687335,0.07672632673695357,0.30433155556754543,0.21138633204999757,-0.006942811128591203,100.0,0.8157430790489351,87.0962792092796,75.58637579186008,87.26162215385465,38.3730331089735,99.90525184070414,83.71258756260168,69.52728017952826,81.82551882046774,78.64299463770487,2015-07-01,76.00162607366782,65.95789764328559,68.49825909113717,33.484931160525996,33.42148405766086,63.275311020158036,87.17894337309215,58.203085300183005
HRB,0.29406180475596205,1.176283835408209,0.9159548747446722,0.7295213597589141,0.43949231970121816,,,0.3422261876985455,3.5206983660528723,20.996779257334634,3.195608568906956,(0.3648370269264829+0j),,,,,,0.3210439868426198,1.284215923558576,0.1636261964557007,0.4030886838640901,,3.9020168074051114,4.000124519348547,0.11207993940762985,0.2761058818330461,-0.8189545917535076,0.5940689902600422,3.966088901534911,1.5712709811961845,,,0.5096690894756191,,0.11705027874700721,0.03149689098232792,0.7129592923463954,-0.06264913879127076,-0.07308992798343905,-0.10435345891167447,-0.07266320967956386,0.34682308952237617,0.3382237262775084,-0.5664409583399587,0.9343736170723085,-0.04125423297077313,-0.06599588054589534,-0.02580626525401697,-0.0031561624483179215,70.0,0.5780935846674307,85.6858085928405,89.38768382327724,96.76395201855264,67.29538385918626,89.98202094299022,30.973933665363923,63.90818562356478,39.3481968018167,74.13106258109026,2015-07-01,82.91297471348504,86.49505548525154,12.187684375911553,65.1176729482038,57.66259380539962,27.68688189242713,87.07015957059905,19.7948790217806
UVV,0.057098881157251806,0.9082543481542681,0.9695596103267922,1.7407315397366083,1.264097899183775,16.044449544617382,,1.3494218541735676,0.02652185728193506,-0.13597541431776616,17.260450591122016,(-0.03050672823240186+0j),(-0.07502485521725244+0j),(0.826983243212599+0j),,0.07878724013986858,,0.05889156329233486,0.9367699917369072,0.020844922816882445,0.0328016582992984,0.03355800577572749,15.204028192986668,15.906692561153905,0.19552753206430099,0.3076829476040982,0.12961117863221802,0.36451618919131595,0.5787508549255342,6.03370823843817,,16.978399335364166,0.35395431283440826,,0.09388955213523201,0.041381003111189356,1.2947580488675503,0.11155980158823708,0.24614430114662444,0.3746194733558472,0.07246158238383305,0.45432486887687756,0.30988029359512104,-0.5986705417127371,0.7661094033450072,0.11974857451806709,0.2812564549658474,0.1442358437627771,-0.0010046686415306836,10.0,0.5913837940476354,88.01491252849246,44.32183197375527,81.05159619058492,67.20722863700462,75.40442154045293,80.50280799568377,66.9350735985482,73.08604828792936,73.37575145420571,2015-07-01,71.33749149009024,35.923552275637675,58.8363211248645,54.472531565748135,59.15238349768355,35.680319294001784,61.11648725681434,53.88461378080888
HQY,0.0018597925627812629,0.0003531251701483411,0.011154271247542837,0.05775857280369183,,,,,,,,(0.4194193453485555+0j),(0.38734592741035834+0j),,0.5998659966499162,0.2674036850921273,0.32603015075376884,0.16673366834170855,0.03165829145728643,0.03011217192434748,0.03219942031985922,,0.3558368495077356,0.189873417721519,,,,0.06482254570975665,,25.12962962962963,25.00096450617284,,0.18060042835880497,0.1180569514237856,,0.027671691792294808,0.8187498652122267,0.202479237880258,0.2834802580625819,0.24941441346537463,,1.7076927557882806,0.4382244798496052,-0.26635691757986923,0.6801179602872801,0.15633031623829896,0.3784341706578498,0.19207647788919435,0.00392367495728477,60.0,0.4033020476984104,26.895926431767137,75.05898976691212,76.21717234144207,100.0,34.400432445976016,92.64348532954273,76.12258250372476,84.14102721985728,69.3173222527742,2015-07-01,20.499314601327427,57.20783958839277,77.95118020855503,76.21717234144207,26.895926431767137,69.53726417321221,26.219036883550892,70.52261355430731
MA,,0.011350462026053127,0.02876310263420281,0.08169753008297785,33.550620460831205,55.37963258893677,,85.02032230415179,,,,(0.9963154954629105+0j),,,,0.6058295964125561,,,0.39461883408071746,,,0.1725635457912888,,,0.1021663363630151,0.23602778654878434,-0.4281654562677613,0.5671427595161621,2.814046822742475,1.7429678288697996,,79.47058823529412,0.1523952709628921,,,0.01390134529147982,19.63257211185317,0.014275182270639508,0.0914624427739783,0.09067616715582028,0.25953567155305857,1.0729098525573528,0.38117248999128506,-0.626652766496752,1.0963095883793905,0.017869489197551047,0.09942836665327959,0.08012704803641024,-0.0020407807067626756,100.0,1.0804497006862315,34.4029844852483,100.0,95.89623274165749,66.7056176378095,45.45700259741539,67.34639372764549,55.729746528645904,66.5380908845822,69.00509359527341,2015-07-01,32.99116607205002,95.89623274165747,44.81100466598932,63.96817434171392,22.948723286724654,67.34639372764549,43.59155300819875,37.53197452060071
GILD,0.04367435814882155,0.05621322303161269,0.07654352083594528,,13.292011118466553,18.793433705759632,,18.099252722545273,0.03824456005104543,0.24271414735268618,2.3769907973460644,(0.2951985812690241+0j),(0.3779822790611216+0j),,,0.7072688964972347,,0.570582038451409,0.734395575454306,0.11307116202604316,,,1.315716593584122,1.2870990076159705,0.3226168419404504,,,,0.860228099975734,2.700861604738826,2.4439956919763057,35.10457516339869,0.19816810626027503,0.09165130366078483,0.08493547537529629,0.016328680537266264,6.858942675976494,0.0218558527988566,0.19146804541214468,0.22197987050912693,0.3651101638528056,0.8884109815240869,0.3139889022166086,-0.4425568701766586,0.7668830867428286,0.041135223071830485,0.10943679800306261,0.06560298164700562,-0.007364194244606733,70.0,0.9527736278284087,68.78235589898011,51.44329654548289,95.41131029593957,35.54860936596208,47.35477126929774,77.85122718423528,74.02730259170283,60.17409538117164,68.56694632673161,2015-07-01,65.62614701563342,49.08272329347105,46.846271701254366,33.91739398804952,24.451171011234216,40.049237664683744,45.181807755682115,57.631163519027865
IRMD,0.005366908597803188,,0.02522619684624388,0.08286494319105804,,,,,,,,(0.3803283164156357+0j),(0.058586703426627196+0j),,0.8100348913462453,0.3238853755986558,0.3312239289272073,0.21275139611868635,,0.05718577091752965,0.06476693751456444,,,,,,,0.11705303489654703,,8.61920968598563,7.844925858345656,,0.26879151893145636,0.04895815827469838,,0.0057631150055673114,1.4060606798209991,0.19638376694451454,0.5753969133886203,0.8536963129045689,,1.9043943157411571,0.5712337817095697,-0.40212576367894054,0.3194364810930848,0.2451204147324535,0.7606629285709305,0.4140503261680557,0.0035142440201208686,10.0,0.8536155202821869,20.887880649838593,52.0907859992759,91.37623997692675,100.0,42.74504259886092,100.0,67.53108680071767,81.81823405122142,68.24771453782034,2015-07-01,19.08655994869056,47.59860162056572,81.81823405122142,91.37623997692675,20.887880649838593,52.0907859992759,39.05881270337473,67.53108680071767
ANET,0.00380272095595684,0.002426928436328653,0.027799206825056853,0.09478404641123339,,,,,,,,(0.7378353082414004+0j),(1.0169546932155047+0j),(1.2724434655599914+0j),0.6576782373146416,0.19969839984361473,0.21585634896255132,0.13679242648496187,0.08730207489737217,0.02798791441357023,0.04011984189257147,,0.8479095214764004,0.6382083945778213,,,,0.30239220561952346,,4.962172438667575,4.3471627643580915,,0.20460134477289246,0.24206205143958223,,0.028685525985087546,0.4879999334161931,0.14285708197662372,0.17552417565666545,0.34960417482888584,0.07684205707750813,0.9845777954660372,0.5043424551630508,-0.39224091128218314,1.1217156498209844,0.11636124413364168,0.14170836977518753,0.022705128626367532,-0.011490057668082344,100.0,0.6093016871953111,28.705774998301337,100.0,76.43125933648574,72.38747021836986,38.086511002703,82.99219972471023,58.76788884011211,62.42006522162702,66.61710154272865,2015-07-01,21.94018533349978,76.43125933648574,51.80378519702709,55.326655089723644,20.779384327847637,82.99219972471023,29.109999996695105,48.772763680181534
VOYA,0.04893381656442988,0.2756912759648823,0.6927234625239508,4.924166434842282,2.068329969153219,71.93952978803117,,5.197047649982157,0.0458817906643301,-0.8669774112585156,,(0.1764659009053835+0j),(0.22637111182344416+0j),,,0.02875095201827875,,0.07063975628332064,0.39798172124904796,0.0008098732057270041,0.009937482254495974,0.0034035532194007043,5.680323450134771,5.633962264150943,0.015350480815828285,0.18835680650570266,0.0878891287694129,0.9185031796800848,0.5333902161547213,,,1.5928270042194093,0.011464835785655596,,,0.003274942878903275,1.2730606950172079,0.032998292137186525,0.07430907476661708,0.10338749906377065,0.29345520253997504,1.7454623865628085,0.23312782195102025,-0.11259464332556174,1.15500930134286,0.039303724858420486,0.11987533135101525,0.0775246009087196,-0.003626017542937202,100.0,1.024423467103571,86.96557429302491,31.978784160918167,71.66733151117235,60.94749095508276,27.549047175778487,68.581936022127,83.15128715529909,67.77801542945308,65.98692012959599,2015-07-01,62.325906429177046,22.918341257847498,46.48347517889488,43.67944039052095,53.00333552627714,21.93166929389498,19.743666967634432,57.02676255842233
LYB,0.06483957175063759,0.06461713754223061,0.4551559989528034,,2.0624123987020395,10.717997132302346,9.065975017924917,14.527405751614625,-0.20456754130223517,0.4703656998738966,2.6963503649635037,(0.16800476207711657+0j),,,,0.19242516799022602,0.22748930971288944,0.14245571166768478,0.14196701282834454,0.04857119053569941,,,1.2590051457975986,0.9965694682675815,0.021411313838207116,,,,3.1439688715953307,2.301778656126482,1.458498023715415,22.82608695652174,0.34095642755977673,0.0031765424557116677,0.02504581551618815,0.037385461209529625,5.279263112376039,-0.012314709081803765,0.14024562771057592,0.26372020628008963,0.048566870234828086,1.1710357916272978,0.35883989896546553,-0.4674204057030696,1.5366731169456738,-0.017199708497716237,0.10820448316955833,0.12759885477403032,-0.003805561629225995,70.0,1.4232342234815298,77.18674226744285,41.80583106083198,80.74777889959931,53.871453477711384,57.768500222252754,70.94649436568444,57.283101375317386,64.27321820748944,65.71729445417589,2015-07-01,62.32657998591832,33.75728003214062,45.599595134220564,43.50000214418289,41.581619951566466,29.659771578100717,46.64678083307919,40.64035228972886
